Price,Year,Make,Model,Description,Url
"$32,995",1960,Chevrolet,El Camino,"SLICK EL CAMINO, 350 V8, 3-SPEED MANUAL, DRUM BRAKES, CHERRY BOMB EXHAUST, NICE!",streetsideclassics.com/vehicles/6121-atl/1960-chevrolet-el-camino
"$31,995",1960,Dodge,Dart,"225 CID SLANT-6, 3-SPEED AUTO, SLICK COLOR CMBO, RUNS & DRIVES GR8, NEWER STEREO",streetsideclassics.com/vehicles/2665-phx/1960-dodge-dart-pioneer
"$29,995",1960,Ford,Falcon,,streetsideclassics.com/vehicles/5668-dfw/1960-ford-falcon-turbo-restomod
"$20,995",1961,Chevrolet,Bel Air,"250 I6, POWERGLIDE, POWER FRONT DISC BRAKES, ORIGINAL COLORS, FRESH SUSPENSION!",streetsideclassics.com/vehicles/3433-tpa/1961-chevrolet-bel-air
"$89,995",1961,Chevrolet,Impala,"SLICK BUBBLETOP! 6.0L LS V8, 4L60E AUTO, POWER DISCS, PS, GREAT PAINT/INTERIOR!",streetsideclassics.com/vehicles/4914-dfw/1961-chevrolet-impala-bubble-top-restomod
"$86,995",1961,Ford,F-100,"FULLY RESTO JUST COMPLETED, 5.7L LS6 V8, 4L60E AUTO, UPGRADED SUSPENSION, SLICK!",streetsideclassics.com/vehicles/2549-phx/1961-ford-f-100-unibody-big-back-window-restomod
"$69,995",1961,Ford,Sunliner,"NICE EXAMPLE, 390CI V8, 3SPD AUTO, A/C, POWER STEERING, CLEAN IN/OUT, RUNS GR8!!",streetsideclassics.com/vehicles/7119-cha/1961-ford-sunliner-convertible
"$69,995",1962,Chevrolet,Bel Air,"BUILT 5.3L V8, OVERDRIVE, P/S, POWER WILWOOD DISC, COLD A/C, AIR RIDE, TWO TONE!",streetsideclassics.com/vehicles/2878-tpa/1962-chevrolet-bel-air-restomod-wagon
"$37,995",1962,Chevrolet,Biscayne,"STRONG 409 BIG BLOCK V8, BORED 60 OVER, 4-SPEED MANUAL, DUAL EXHAUST, FAST!!!",streetsideclassics.com/vehicles/6674-atl/1962-chevrolet-biscayne-409
"$49,995",1962,Chevrolet,C10,"5.3L VORTEC V8, 4L60E AUTO, PWR BRKES/STEER, FRONT DISCS, SLICK LOOK, DRIVES GR8",streetsideclassics.com/vehicles/2291-phx/1962-chevrolet-c10-stepside-restomod
