Year,Make,Price
1967,Chevrolet,"$84,995"
1967,Chevrolet,"$61,995"
1967,Chevrolet,"$41,995"
1967,Chevrolet,"$76,995"
1967,Chevrolet,"$48,995"
1967,Chevrolet,"$44,995"
1967,Dodge,"$34,995"
1967,Dodge,"$34,995"
1967,Ford,"$17,995"
1967,Ford,"$32,995"
1967,Ford,"$44,995"
1967,Ford,"$18,995"
1967,Ford,"$31,995"
1967,Ford,"$31,995"
1967,Ford,"$35,995"
1967,Ford,"$39,995"
1967,Ford,"$39,995"
1967,Ford,"$72,995"
1967,Ford,"$38,995"
1967,GMC,"$43,995"
1967,Oldsmobile,"$34,995"
1967,Oldsmobile,"$17,995"
1967,Plymouth,"$77,995"
1967,Pontiac,"$41,995"
1967,Pontiac,"$74,995"
1967,Pontiac,"$54,995"
1967,Sunbeam,"$114,995"
1967,Volkswagen,"$18,995"
1967,Volkswagen,"$24,995"
1968,AMC,"$32,995"
1968,Cadillac,"$37,995"
1968,Cadillac,"$19,995"
1968,Chevrolet,"$48,995"
1968,Chevrolet,"$24,995"
1968,Chevrolet,"$49,995"
1968,Chevrolet,"$59,995"
1968,Chevrolet,"$44,995"
1968,Chevrolet,"$77,995"
1968,Chevrolet,"$99,995"
1968,Chevrolet,"$64,995"
1968,Chevrolet,"$55,995"
1968,Chevrolet,"$44,995"
1968,Chevrolet,"$46,995"
1968,Chevrolet,"$57,995"
1968,Chevrolet,"$69,995"
1968,Chevrolet,"$64,995"
1968,Chevrolet,"$36,995"
1968,Chevrolet,"$54,995"
1968,Chevrolet,"$59,995"
1968,Chevrolet,"$42,995"
1968,Chevrolet,"$64,995"
1968,Chevrolet,"$34,995"
1968,Chevrolet,"$38,995"
1968,Chevrolet,"$27,995"
1968,Chevrolet,"$51,995"
1968,Chevrolet,"$37,995"
1968,Chevrolet,"$74,995"
1968,Chrysler,"$18,995"
1968,Dodge,"$124,995"
1968,Dodge,"$128,995"
1968,Ford,"$125,995"
1968,Ford,"$44,995"
1968,Ford,"$51,995"
1968,Ford,"$34,995"
1968,Ford,"$27,995"
1968,Ford,"$67,995"
1968,Ford,"$35,995"
1968,Ford,"$184,995"
1968,Jeep,"$21,995"
1968,Jeep,"$89,995"
1968,Mercury,"$26,995"
1968,Oldsmobile,"$19,995"
1968,Plymouth,"$67,995"
1968,Pontiac,"$44,995"
1968,Pontiac,"$65,995"
1968,Toyota,"$26,995"
1968,Volkswagen,"$13,995"
1968,Volkswagen,"$14,995"
1968,Volkswagen,"$13,995"
1968,Volkswagen,"$16,995"
1969,AMC,"$41,995"
1969,Buick,"$52,995"
1969,Buick,"$22,995"
1969,Buick,"$29,995"
1969,Cadillac,"$33,995"
1969,Cadillac,"$22,995"
1969,Chevrolet,"$76,995"
1969,Chevrolet,"$19,995"
1969,Chevrolet,"$27,995"
1969,Chevrolet,"$29,995"
1969,Chevrolet,"$54,995"
1969,Chevrolet,"$64,995"
1969,Chevrolet,"$53,995"
1969,Chevrolet,"$58,995"
1969,Chevrolet,"$69,995"
1969,Chevrolet,"$81,995"
1969,Chevrolet,"$76,995"
1969,Chevrolet,"$96,995"
1969,Chevrolet,"$69,995"
1969,Chevrolet,"$68,995"
1969,Chevrolet,"$71,995"
1969,Chevrolet,"$69,995"
1969,Chevrolet,"$68,995"
1969,Chevrolet,"$57,995"
1969,Chevrolet,"$66,995"
1969,Chevrolet,"$51,995"
1969,Chevrolet,"$62,995"
1969,Chevrolet,"$63,995"
1969,Chevrolet,"$59,995"
1969,Chevrolet,"$63,995"
1969,Chevrolet,"$47,995"
1969,Chevrolet,"$46,995"
1969,Chevrolet,"$57,995"
1969,Chevrolet,"$48,995"
1969,Chevrolet,"$76,995"
1969,Chevrolet,"$94,995"
1969,Chevrolet,"$95,995"
1969,Chevrolet,"$129,995"
1969,Chevrolet,"$69,995"
1969,Chevrolet,"$49,995"
1969,Chevrolet,"$49,995"
1969,Chevrolet,"$87,995"
1969,Chevrolet,"$47,995"
1969,Chevrolet,"$72,995"
1969,Chevrolet,"$48,995"
1969,Chevrolet,"$66,995"
1969,Chevrolet,"$51,995"
1969,Chevrolet,"$64,995"
1969,Chevrolet,"$54,995"
1969,Chevrolet,"$74,995"
1969,Chevrolet,"$49,995"
1969,Chevrolet,"$59,995"
1969,Chevrolet,"$28,995"
1969,Chevrolet,"$39,995"
1969,Chevrolet,"$54,995"
1969,Chevrolet,"$27,995"
1969,Chevrolet,"$34,995"
1969,Chevrolet,"$49,995"
1969,Chevrolet,"$37,995"
1969,Ford,"$41,995"
1969,Ford,"$37,995"
1969,Ford,"$86,995"
1969,Ford,"$44,995"
1969,Ford,"$69,995"
1969,Ford,"$57,995"
1969,Ford,"$41,995"
1969,GMC,"$46,995"
1969,Oldsmobile,"$47,995"
1969,Oldsmobile,"$36,995"
1969,Plymouth,"$63,995"
1969,Pontiac,"$33,995"
1969,Pontiac,"$49,995"
1969,Volkswagen,"$17,995"
1970,AMC,"$36,995"
1970,Buick,"$54,995"
1970,Buick,"$59,995"
1970,Chevrolet,"$34,995"
1970,Chevrolet,"$38,995"
1970,Chevrolet,"$39,995"
1970,Chevrolet,"$34,995"
1970,Chevrolet,"$39,995"
1970,Chevrolet,"$78,995"
1970,Chevrolet,"$49,995"
1970,Chevrolet,"$41,995"
1970,Chevrolet,"$79,995"
1970,Chevrolet,"$82,995"
1970,Chevrolet,"$76,995"
1970,Chevrolet,"$59,995"
1970,Chevrolet,"$74,995"
1970,Chevrolet,"$61,995"
1970,Chevrolet,"$57,995"
1970,Chevrolet,"$64,995"
1970,Chevrolet,"$64,995"
1970,Chevrolet,"$59,995"
1970,Chevrolet,"$69,995"
1970,Chevrolet,"$72,995"
1970,Chevrolet,"$64,995"
1970,Chevrolet,"$57,995"
1970,Chevrolet,"$62,995"
1970,Chevrolet,"$54,995"
1970,Chevrolet,"$31,995"
1970,Chevrolet,"$42,995"
1970,Chevrolet,"$39,995"
1970,Chevrolet,"$29,995"
1970,Chevrolet,"$64,995"
1970,Chevrolet,"$59,995"
1970,Chevrolet,"$36,995"
1970,Chevrolet,"$38,995"
1970,Chevrolet,"$49,995"
1970,Chevrolet,"$58,995"
1970,Chevrolet,"$57,995"
1970,Chevrolet,"$44,995"
1970,Chevrolet,"$47,995"
1970,Chevrolet,"$41,995"
1970,Chevrolet,"$41,995"
1970,Chevrolet,"$38,995"
1970,Dodge,"$72,995"
1970,Dodge,"$96,995"
1970,Ford,"$28,995"
1970,Ford,"$31,995"
1970,Ford,"$44,995"
1970,Ford,"$34,995"
1970,Ford,"$39,995"
1970,Ford,"$49,995"
1970,Ford,"$39,995"
1970,GMC,"$23,995"
1970,Land Rover,"$33,995"
1970,Oldsmobile,"$29,995"
1970,Oldsmobile,"$56,995"
1970,Plymouth,"$156,995"
1970,Plymouth,"$109,995"
1970,Pontiac,"$53,995"
1970,Pontiac,"$64,995"
1970,Pontiac,"$47,995"
1970,Volkswagen,"$19,995"
1970,Volkswagen,"$26,995"
