Description
"FRESH BUILD, 350 V8, 700R4 AUTO, A/C, PWR STEER/BRAKE, RUNS/DRIVES AMAZING, WOW!"
"SUPERCHRGED 6.0L LS V8 W/ GOODIES, 3-SPEED AUTO, SLICK PATINA LOOK, DRIVES GREAT"
"FRESH BUILD W/ RCEIPTS, 427 STROKED V8, TREMEC 5-SPEED, SLICK COLOR COMBO, CLEAN"
"FORD 302 V8, 5 SPEED MANUAL, 4 WHEEL DISC, COILOVERS, COOL CUSTOM PAINT, SWEET!"
"BIG BLOCK 454 V8, AUTO TRANS, PWR STEER/4-WHEEL DISC, DUAL EXHAUST, CONVERTIBLE!"
"WOW! HIGHLY DETAILED BUILD! REBUILT 318 V8, AUTO, A/C FRONT & REAR! ALL PAINT!"
"RESTOMOD WIDEBODY STANG, FUEL INJECTED 302 V8, AUTO TRANS, CONVERTIBLE, KILLER!!"
"CLEAN GT FASTBACK! 289 V8, 4 SPEED MAN, FACTORY COLORS, REAL GT, PONY INTERIOR"
"SUPER SLICK RED PAINT, RED/WHITE PONY INTERIOR, 289CI MOTOR, AUTO, A/C, PS & PB"
"6.2L LT1 V8, 6-SPEED, ALL AMERICAN CHASSIS & FRNT SUSPENSION, 4-WHEEL POWR DISCS"
"STRONG 396 BIG BLOCK V8, 4-SPEED MANUAL, POWER STEER/FRONT DISC, DUAL EXHAUST!!"
""
"351 WINDSOR V8, AUTO, POWER STEERING, POWER FRONT DISC, COLD A/C, SHELBY REAR!"
"WOW! FACTORY COLORS, 427 BUILT TO 480CI, EFI, TREMEC 6 SPD, WILWOOD PDB, PS, A/C"
"STRONG 460 BIG BLOCK V8, 4 SPEED, 4 WHEEL DISC, ADJUSTABLE COILOVERS, SWEET!"
"BIG BLOCK 402 V8, MUNCIE 4 SPEED, POWER 4 WHEEL DISC BRAKES, STAGGERED WHEELS!"
"Description coming soon, call for details!"
"VERY SHARP CHEVY DROP TOP! 396 V8, AUTO, PS, PB W/ FRONT DISC, GREAT PAINT!"
"WOW! REAL DEAL X77 Z/28 W/ PERIOD CORRECT DZ 302 V8, M20 4 SPEED, LOTS OF DOCS"
"FUEL INJECTED 383 STROKER V8,TKO600, $22K CUSTOM INTERIOR, GORGEOUS PAINT, WOW!"
"VERY SHARP! 454 V8, 700R4 AUTO, A/C, PS, PB W/ FRT DISC, GREAT PAINT & INTERIOR!"
"WOW! PRO BUILT TRUE MACH 1, 408 STROKER, TREMEC 5 SPD, A/C, PS/PDB, FULL SUSP'N!"
"AIR-COOLED 1800CC FLAT-4, 4SPD TRANS, ATTENTION-GRABBING STYLE, RUNS/DRIVES WELL"
"FUEL INJECTED 5.3L V8, TWIN TURBO, OVERDRIVE, COLD A/C, POWER 4 WHEEL DISC, WOW!"
"383 STROKER, FI TECH, TH400, WILWOOD DISC, UPGRADED SUSPENSION, COLD A/C, WOW!"
"REAL SS, #'S MATCH 454 V8, TH400, CORRECT TWO TONE BLUE, TONS OF DOCUMENTATION!"
"BELIEVED FACTORY BIG BLOCK CAR, 454 V8, TH400 3SPD AUTO, GR8 COLOR COMBO, SHARP!"
"MUST SEE SUPER CHEYENNE, CRATE 350 V8, AUTO TRANS, PWR STEER/FRNT DISC, NICE!!!"
"MUST SEE BRONCO RESTOMOD, FUEL INJECTED 351 V8, 5-SPEED MANUAL, 4X4, LIFTED!!!"
"HOLLEY EFI, 400 V8, RUNS STRONG, 5SPD TRANS, POWER STEERING/BRAKES, LOOKS GREAT!"
"HIGHLY ORIGINAL, 400 V8, 4-SPEED MANUAL TRANS, PWR STEER/FRNT DISC, DUAL EXHAUST"
"350 V8, TH350, POWER FRONT DISC, 4X4, CLEAN RESTO, LOOK UNDERNEATH, TMI INTERIOR"
"COLLECTOR-GRADE, ONLY 7 MILES, NEVER TITLED, ORIG 350 V8 & TH350 3SPD AUTO, WOW!"
"350 V8, 4 SPEED MANUAL, POWER FRONT DISC, POWER STEERING, REAL K10, LIFTED, 33'S"
"4.2L INLINE-6, 4SPD TRANS, A/C, POWER BRAKES, RUNS/DRIVES WELL, GR8 COLOR COMBO!"
"WOW! ONE OWNER LAST 33 YEARS, 46K MILES, FAITHFULLY MAINTAINED, 5 YRS ON REPAINT"
"TRUE M1009, 6.2L DIESEL, 3-SPEED AUTO, PWR BRKS/STR, FRONT DISCS, MASSIVE STEREO"
"BELIEVED 47K ACT'L MILES, SMALL-BLOCK POWERED, 4SPD AUTO, A/C, PS/PB, DOCUMENTED"
"BAGGED C10 W/ 6.0L LS2 V8, AUTO, UPGRDED SUSPNSN, 4-WHEEL PWR DISCS, VINTAGE A/C"
"SUPERCHARGED 502 V8, TH400 3SPD AUTO, A/C, POWER STEERING & BRAKES, RUNS STRONG!"
"COOL RETRO LOOK, DESERT FOX STRIPES, #'S MATCH 350, O/D TRANS, A/C INTERIOR"
"LS1 V8, 4L60E AUTO, 4 WHEEL WILWOOD BRAKES, P/S, COLD A/C, UPGRADED SUSPENSION!"
"BEAUTIFUL BUILD! CUSTOM PAINT & INTERIOR, FINISHED BED, 4.3L VORTEC V6, COLD A/C"
"ONE OWNER, 41K ACTUAL MILES, CLEAN CARFAX, ORIGINAL WINDOW STICKER, GREAT COLORS"
"ONLY 13K ORIGINAL MILES, ORIGINAL WINDOW STICKER, 8.0L V10, LATE MODEL COLLECTOR"
""
"58K ACTUAL MILES, LS1 V8, AUTO, 3 OWNERS, NO ACCIDENTS, GREAT COLORS, DROP TOP!"
"SUPER CLEAN W/ LOTS OF PERFORMANCE GOODIES! JUST 53K MILES, CLEAN HISTORY, NICE!"
"44K ACTUAL MILES, CLEAN HISTORY, LS1 V8, AUTOMATIC, TORCH RED, MAINTENANCE RECDS"
"RARE YENKO WILDFIRE, CLAIMED 1 OF 12, SUPERCHARGED 5.3 V8, CLEAN CARFAX, AMAZING"
"ONLY 8,555 MILES, 1.8L INLINE-4, 6SPD TRAN, ORIG TOOL KIT & WINDOW STICKER, NICE"
"3 OWNER WITH LESS THAN 5K MILES, BUILT FOR SEMA BY MALLETT, 6.0L LS2 V8, 5-SPEED"
"SUPER CLEAN 2 OWNER TX CAR W/ JUST 12K MILES! SPORT SEATS, SPORT EXHAUST + MORE!"
"BUILT TO APPROX 1200HP & TUNED ON E85, LONG SPEC LIST, INCL DRAG SLICKS/SKINNIES"
"20K ACTUAL MILES, ONE OWNER, FL SINCE NEW, CLEAN HISTORY, SUPERCHARGED, CLEAN!"
"CUSTOM BUILD INSIDE/OUT, ONLY 10,975 MILES, 3.6L V6, 4SPD AUTO, RUGGED & READY!!"
"AWESOME ONE-OFF BUILD! 700+HP 2.3L ECOBOOST! 6 SPEED AUTO, WIDEBODY, 1069 MILES!"
"SUPER CLEAN W/ ONLY 3,059 MILES, INCLUDES NEW OWNER MATERIALS, SUPERCHARGED! WOW"
"LESS THAN 1K MILES, TOP-NOTCH BUILD, 3.0L ECO-DIESEL V6, AUTO, BUILT FOR OFFROAD"
"100 YEAR OLD CLASSIC, 171 CI INLINE 4 CYLINDER, 3-SPEED MANUAL, 30' WHEELS!!!"
"COOL MODEL T, 177CI INLINE 4 CYLINDER, RUNS GREAT, ALMOST 100 YEARS OLD!"
"Description coming soon, call for details!"
"350 V8, DUAL QUADS, TH350 AUTO, 4 WHEEL DISC BRAKES, COILOVERS, CLEAN BUILD!"
"Description coming soon, call for details!"
"COOL VINYL WRAP, 350 V8, AUTO, FRONT DISC BRAKES, READY FOR SOME FUN!"
"OLD SCHOOL T-BUCKET, 327 V8, 2-SPEED AUTO TRANS, 4-WHEEL DISC, SIDE EXHAUST!!!"
"350 V8 W/ WEIAND BLOWER, 3-SPEED AUTO, 4-WHEEL DISCS, SLICK COLOR COMBO W/ COVER"
"RARE ANTIQUE! SMOOTH RUNNING 3.0L 4 CYL, 3 SPEED MANUAL, STOCK & WELL MAINTAINED"
"SUPER FUN TO DRIVE T-BUCKET, 255 FLATHEAD V8, 3-SPEED MANUAL TRANS, COOL SOUND!!"
"VERY COOL CUSTOM BUILD! 200CI V6, AUTO W/ MAN SHIFT, PWR FRT DISC, RIDES GREAT!"
"302 V8, 3-SPEED AUTO, 4-WHEEL DISCS, HOUSE OF KOLOR PAINT, RESTO PHOTOS, CLEAN!!"
"HOT ROD WILLYS, PEPPY 327 V8, AUTO TRANS, 4-WHEEL DISC, DUAL EXHAUST, COOL!!!"
"HENRY FORD STEEL, 327CI MOTOR, TH350 TRANS, JAG REAR END W/ DISCS, STREET ROD!"
"FIBERGLASS BODY, BIG BLOCK 454CI CHEVY MOTOR, POWERGLIDE TRANS, FORD 9"" REAR"
"351 V8, C6 AUTO, FRONT DISC, COILOVERS, STEEL 4 DOOR BODY, 9 INCH REAR, WOW!"
"283 V8, TRI POWER, POWERGLIDE, WINTERS QUICK CHANGE REAR, SIDE PIPES, UNIQUE!"
"SUPERCHRGD 350 V8, 3-SPEED AUTO, 4-WHEEL DISCS, RECENT MAINT RCPTS, SLICK BUCKET"
"BEAUTIFUL ""JACK DANIELS"" THEME CUSTOM BUILD! 350 V8, AUTO, A/C, FRT DISCS, WOW!"
"201 CI INLINE-4, 3SPD TRANS, RUNS/DRIVES WELL, GR8 FOR PARADES/ LOCAL BUSINESSES"
"BEAUTIFUL & RARE, RESTORED IN LATE '90'S AND WELL PRESERVED! RUNS/DRIVES GREAT!"
"NC CAR & LOCALLY OWNED, 4.7L STRAIGHT-6, 3SPD TRANS, RUNS/DRIVES WELL, CARED FOR"
"CHEVY 350 V8 W/ TWO 4'S, TH350 AUTO, PWR BRAKES W/ FRONT DISC, COOL CUSTOM BUILD"
"STEEL BODY, 350 V8, TH350, LONG TERM OWNERSHIP OF 54 YEARS, TASTEFUL UPGRADES!"
"ALL STEEL 5 WINDOW! 327 V8, AUTO, FRONT DISC BRAKES, COOL OLD SCHOOL HOT ROD!"
"NICELY FINISHED PHAETON, SIDE CURTAINS & RODS, 201CI FLAT 4, COOL ORIGINAL CAR"
"VERY SHARP BUILD! 350 CRATE V8, AUTO, A/C, DISC BRAKES, CUSTOM INTERIOR, NICE!"
"350CI V8, 3SPD AUTO, RUNS WELL/ GRABS A LOT OF ATTENTION, CUSTOM ROD, AFFORDABLE"
"SMALL-BLOCK POWERED, TH350 3SPD AUTO, RUNS/DRIVES WELL, AFFORDABLE CLASSIC TRUCK"
"AWESOME STEEL ROADSTR, 307 V8 W/ TPI, 3-SPEED AUTO, PWR BRKS, FRONT DISCS, RCPTS"
"Description coming soon, call for details!"
"ALL STEEL 5-WINDOW, STRONG 289 V8, AUTO TRANS, FRONT DISC, SIDE PIPES, SO FUN!!"
"NICELY RESTORED MODEL A COUPE, 5-WINDOW, RUMBLE SEAT, 201 CI 4-CYLINDER, COOL!!"
"FRESH BUILD, 5.7L LT1 V8, TREMEC 6-SPEED, FRONT DISCS, SUICIDE DOORS, FULL CUSTM"
"201CI 4-CYLINDER MOTR, 3-SPEED, VERY ORGNL LOOK W/ A GREAT STORY, CLEAN WOOD BED"
"SMOOTH RUNNING 194 C.I. SIX CYLINDER, 3-SPEED MANUAL TRANS, SPECIAL SEDAN, A+!"
"FRESHLY BUILT 5-WINDOW VICKY, 350 V8, AUTO TRANS, FRNT DISC, COLD A/C, ALL STEEL"
"MUST SEE MODAL A PICKUP, 201 CI 4 CYLINDER, 4-SPEED MANUAL, HARLEY DAVIDSON, WOW"
"SLICK MODEL A STREETROD PICKUP, STRONG 400 V8, 3-SPEED AUTO, FRONT DISC, COOL!!"
"350 V8, TH350 3SPD TRANS, POWER BRAKES, RUNS/DRIVES WELL, GR8 LOOKING AND CLEAN!"
"COOL MODEL A TUDOR SEDAN, 201 CI 4-CYLINDER, 3-SPEED MANUAL, SMALL TOWN CRUISER!"
"318 V8 W/ WEIAND SPRCHRGER, 3-SPEED AUTO, SLICK COLOR COMBO, CLEAN STEEL HOT ROD"
"Description coming soon, call for details!"
"NICE STREETROD! FUEL INJECTED 350 V8, AUTO, A/C, RACK & PINION, FRONT DISC BRKS"
"STEEL BODY BUILD FROM THE 50'S! OLDSMOBILE 324 V8, 3 SPD MANUAL, CLASSIC HOTROD!"
"WOW! 350 CRATE V8, AUTO, A/C, PWR FRONT DISC BRAKES, VERY SHARP INSIDE/OUT!"
"BEAUTIFUL BUILD! BUILT FLATHEAD V8, 5 SPD MAN, RUSS NOMORE BODY, FRT DISC, WOW!"
"IMMACULATE BUILD! FORD STEEL, 239 FLATHEAD V8, C4 AUTO, AMAZING CUSTOM INTERIOR!"
"TCI CHASSIS, 454 V8, 700R4 TRANS, 9"" REAR, 4-WHEEL DISC BRAKES, RUNS & LOOKS GR8"
"SLICK BUILD! CRATE 350 V8 W/ TWO 4'S, AUTO, FRT DISC BRAKES, RUNS & DRIVES GREAT"
"NICELY RESTORED PICKUP, PEPPY 350 V8, 5-SPEED MANUAL TRANS, PWR STEER/FRNT DISC!"
"UNIQUE CUSTOM BUILD! 5.7L LS1 V8, 4 SPEED AUTO, A/C, POWER DISC BRAKES, HARD TOP"
"CLEAN BUILD! WESCOTT BODY, 350 V8, AUTO, PB W/ FRT DISC, SOFT TOP, GREAT DRIVER!"
"322 NAILHEAD V8, 5-SPEED MANUAL TRANS, DUAL EXHAUST, FORDOR, STREETROD, COOL!!"
"302 V8, AOD AUTO, 4-WHEEL DISCS, UPGRADED SUSPENSION, SLICK GLASS VICKY, CLEAN!!"
"FUEL INJECTED 4.3 LITER VORTEC V6, 4-SPEED AUTO, PWR FRNT DISC, DUAL EXHAUST!!"
"SUPER COOL BUILD, LS1, FIBERGLASS BODY, PAUL ATKINS INTERIOR, HOT WHEELS LOOK!"
"CLEAN FACTORY FIVE W/ 4,200 MILES ON BUILD, 347 V8, AOD AUTO, 4-WHEEL DISCS, GR8"
"Description coming soon, call for details!"
"CUSTOM BUILD, 302CI V8, 4SPD AUTO, RUNS/DRIVES WELL, SHARP LOOKING, GR8 COLORS!!"
"6.2L LS3 V8, 4SPD AUTO, A/C, POWER STEERING, LOOKS GR8, VERY QUICK, DRIVES GR8!!"
"RAM JET 350 V8, TH350 AUTO, RUN/DRIVE GR8, GRABS ATTN, SLICK PAINT/NICE INTERIOR"
"BEAUTIFUL VICTORIA STREETROD, PEPPY 302 V8, AUTO TRANS, PWR STEER/FRNT DISC!!!"
"NICELY BUILT RESTOMOD, 454 BIG BLOCK V8, AUTO TRANS, PWR STEER/4-WHEEL DISC!!!"
"SUPER COOL CUSTOM BUILT TANKER, 350CI MOTOR, 700R4 O/D TRANS, POWER FRONT DISCS"
"STEEL BODY! 350 V8, AUTO, A/C, POWER STEER/BRAKES, FRONT DISC, GREAT CRUISER!"
"WOW! VERY FAST 450HP BUILT 350 V8, AUTO W/ STALL, TUBULAR FRAME, R&P, FRT DISC"
"FIBERGLASS BODY & FENDERS, CRATE 383, 4-WHEEL DISCS, O/D TRANS, NICE STREET ROD!"
"EXCELLENT CUSTOM STEEL TRUCK, 408 V8 W/ GO-FAST GOODIES, TH350, UPGRADED SUSPNSN"
"SMOOTH RUNNING STREETROD, 350 V8, 3-SPEED AUTO TRANS, PS, PWR 4-WHEEL DISC!!!"
"BEAUTIFUL STANDARD SEDAN, 350 V8, AUTO TRANS, PWR STEER/FRNT DISC, DUAL EXHAUST!"
"GREAT DRIVING STREETROD! 350 V8, AUTO, A/C, PS/B W/ FRT DISC, R&P STEERING, WOW!"
"221 FLATHEAD V8, 3SPD TRANS, COOL, CLASSY, & GREAT 4 PARADES, LOCAL SHOW/EVENTS!"
"NICELY BUILT STREET ROD, 350CI MOTOR, AUTO TRANS, NICE PAINT, GREAT STANCE, NICE"
"SHARP '37 5-WINDOW COUPE, 350 V8, AUTO TRANS, PWR FRONT DISC, DUAL EXHAUST, NICE"
"SMOOTH RUNNING 216CI INLINE 6, ALL STEEL & MOSTLY ORIGINAL, ADDED FRONT DISCS"
"30K MILES SINCE BUILT, FUEL INJECTED 4.6 LITER V8, 4-SPEED AUTO TRANS, RESTOMOD!"
"GORGEOUS COUPE, 350 V8, AUTO TRANS, FRONT DISC BRAKES, DUAL EXHAUST, STEEL!!!"
"IMPRESSIVE BUILD! 302 V8, AUTO, A/C, PS/PDB, GLASS BODY/STEEL BED, DRIVES GREAT!"
"350 V8, 3-SPEED AUTO, PWR BRKES/STEER, 4-WHEEL DISCS, A/C, FULLY UPGRADED, CLEAN"
"INCREDIBLE BUILD, LS1, 4L60E TRANS, FATMAN CHASSIS, AIR-RIDE, MUSTANG II, MORE!"
"BEAUTIFUL BUILD! 350 V8, 700R4, A/C, LEATHER, PS/B, FRT DISC, FANTASTIC CRUISER!"
"VERY SHARP STREET ROD! 350 V8, 4 SPEED AUTO, A/C, PS/B, FRT DISC, LEATHER, NICE!"
"Description coming soon, call for details!"
"346CI FLATHEAD V8, 3SPD MANUAL TRANSMISSION, BELIEVD TO BE ORIG PAINT & INTERIOR"
"350 V8, TH350 AUTO, FRONT DISC, POWER STEERING, COLD A/C, UPGRADED SUSPENSION!"
"FLATHEAD V8, 3 SPEED MANUAL FLOOR SHIFT, STEEL BODY COUPE, BEAUTIFUL INTERIOR!"
"KILLER FORD COUPE, 400 V8, 5-SPEED MANUAL, PWR STEER, FRNT DISC, DUAL EXHAUST!!"
"Description coming soon, call for details!"
"STEEL BODY CHEVY! 454 BIG BLOCK V8, AUTO, RACK & PINION, PB W/ FRONT DISC, NICE!"
"SHARP STREET ROD! 350 V8, AUTO, PS, PWR BRAKES W/ FRONT DISC, READY TO CRUISE!"
"Description coming soon, call for details!"
"GR8 RUNNING SPECIAL DELUXE SEDAN, 305 V8, AUTO TRANS, FRNT DISC, DUAL EXHAUST!!"
"STRONG 400 V8, 4-SPEED AUTO W/ OD, POWER STEER/FRONT DISC, DUAL EXHAUST, COUPE!!"
"DESIRABLE, ICONIC FLATHEAD V8, 3SPD TRANS, RUNS/DRIVES WELL, CLASSY COLOR COMBO!"
"Description coming soon, call for details!"
"40'S FORD STREETROD, 289 V8 POWERHOUSE, 3-SPEED AUTO TRANS, PS, DUAL EXHAUST!!!"
"239 FLATHEAD V8, 3 SPEED ON THE TREE, DUAL CARBS, OFFENHAUSER HEADS, COOL ROD!!!"
"350 V8 W/ GOODIES, AUTO, FRONT DISCS, UPGRADED SUSPENSION, RUNS & DRIVES GREAT!!"
"AWESOME & RARE LASALLE, 322 V8, 3-SPEED, $7K IN MAINT RCPTS, RUNS & DRIVES GREAT"
"ZEPHYR RESTOMOD, 350 V8, 3-SPEED AUTO, POWER STEER/FRONT DISC, SIDE PIPE EXHAUST"
"GOOD RUNNING 350 V8, 3-SPEED AUTO TRANS, POWER STEER, FRONT DISC, CONVERTIBLE!!"
"GORGEOUS SUPER 8 PHAETON CONVERTIBLE, INLINE 356 V8, 3-SPEED MANUAL, 4-DOOR!!!"
"500 CADDY V8, 3-SPEED AUTO, PWR BRAKES/STEER, A/C, AIR RIDE, SLICK CUSTOM BUICK!"
"ORIG STYLE 346 V8, 3-ON-THE-TREE, GREAT COLOR COMBO, VERY ORIG APPEARANCE, CLEAN"
"383 STRKR V8, 3-SPEED AUTO, RCK & PINION, FRONT DISCS, ICE-COLD A/C, CLEAN CHEVY"
"COOL CHEVY TRUCK, STAKE BED, 350CI V8, A/C INTERIOR, POWER STEER & BRAKES!"
""
"WOW! BEAUTIFUL BUILD! AMAZING WOOD WORK, 4.6L CRATE V8, AUTO, A/C, PS/B, FR DISC"
"PRE-WAR RESTOMOD ZEPHYER, 350 V8, 3-SPEED AUTO TRANS, PWR STEER, FRONT DISC!!!"
"CONVERTED ROADSTER ZEPHYR, 292CI V12 MOTOR, ELEGANT COLOR COMBO, COOL & UNIQUE!"
"BRAND NEW BUILD, BUILT 5.3L LS MOTOR, 4 WHEEL DISCS, VINTAGE A/C, 4 LINK REAR!"
"454 BIG BLOCK V8, TH400, UPGRADED SUSPENSION, COLD A/C, 4 WHEEL DISC, COOL BUILD"
"INCREDIBLE BUILD, RAMJET 502, PRIOR RIDLER GREAT 8 FINALIST, DETAILED UNDERSIDE!"
"LATE-MODEL TRUCK CHASSIS, FIBERGLASS BODY, 350 V8, 4SPD AUTO, PWR STEERING, WOW!"
"351 WINDSOR V8, 3 SPEED AUTO, POWER STEERING & BRAKES, FRONT DISC, RARE YEAR!"
"350 V8, TH350 AUTO, POWER FRONT DISC, POWER STEERING, CUSTOM BUILD, NICE WHEELS!"
"INLINE 6, 3 SPEED MANUAL, RARELY SEEN PANEL DELIEVERY, PERFECT FOR YOUR COMPANY!"
"350 V8, 700R4 OVERDRIVE, COLD A/C, CAMARO FRONT END, P/B, P/S, CLEAN BUILD!"
"NICELY RESTORED CANOPY PICKUP, 218 CI INLINE 6 CYLINDER, 3-SPEED MANUAL TRANS!!"
"DUAL CARB 350 V8, AUTO, POWR BRAKES/STEER, FRONT DISCS, ICE-COLD A/C, MUSTANG II"
"351 V8, 3-SPEED AUTO, POWR BRAKES, FRONT DISCS, CLEAN F1, RUNS AND DRIVES GREAT!"
"350 V8, 700R4, POWER BRAKES, POWER STEERING, COLD A/C, MUSTANG II FRONT END, WOW"
"SERIES 60 SPECIAL FLEETWOOD CADDIE, 5.7 LITER V8, 4-SPEED AUTO, PWR STEER/BRAKES"
"SHARP 3100 5-WINDOW, STRONG 305 V8, 3-SPEED AUTO, PWR STEER/FRNT DISC, COOL!!!"
"STEEL BODY, 350CI MOTOR, 700R4 O/D TRANS, GREAT COLOR COMBO, LEATHER INTERIOR!"
"230CI INLINE 6, 3 SPEED MANUAL, 12 VOLT CONVERISON, SUICIDE DOORS, CLASSIC DODGE"
"218CI INLINE-6, 3SPD MANUAL TRANS, GR8 FOR PROMOTION/ MARKETING BUSINESS, NEAT!!"
"350CI V8, 4SPD AUTO, AC, PWR STEER/ BRAKES, GR8 STANCE & LOOK, RUNS/DRIVES WELL!"
"FLATHEAD V8, 3 SPEED MANUAL, RARE EXAMPLE, ONLY 831 MADE, POWER WINDOWS ADDED!"
"CHEVY 350 V8, TH350, P/S, P/B, FRONT DISC, 17"" RIDLER WHEELS, CUSTOM INTERIOR!"
"CLEAN VINTAGE CADILLAC SURVIVOR W/ REPAINT! BELIEVED ORIG 346 V8, AUTO, NICE!"
"BEAUTIFUL CADDY SERIES 62, 346 L HEAD V8, 4-SPEED AUTO TRANS, CLASSIC LUXURY!!"
"Description coming soon, call for details!"
"CLASSIC VINTAGE FORD! 350 V8, AUTO, A/C, PS, PB W/ FRONT DISC, GREAT PAINT!"
"COOL CUSTOM BUILD! 350 V8, AUTO, PWR STEER, PWR DISC BRAKES, GREAT COLORS, WOW!"
"CLASSIC AMERICAN LUXURY, SMOOTH RUNNING 312 V8, 3-SPEED MANUAL TRANS, ELEGENT!!"
"Description coming soon, call for details!"
"Description coming soon, call for details!"
"SBC V8, AUTO, POWER STEERING & BRAKES, CUSTOM BUILD, PERFECT FOR YOUR BUSINESS!"
"NICELY RESTORED F-1 PICKUP, SMOOTH RUNNING 289 V8, 4-SPEED MANUAL TRANS, COOL!!"
"FULL RESTO, 427 V8, TH350 AUTO, A/C, PWR STEER/BRAKES, RUNS/DRIVES GR8, AMAZING!"
"SLEEK LEAD SLED, FUEL INJECTED 350 V8, AUTO TRANS, PWR STEER/FRNT DISC, COOL!!!"
"WOW! 5.0L V8, AUTO, A/C, LEATHER, PS, PB, 4WHL DISC, VERY COMFORTABLE CRUISER!"
"Description coming soon, call for details!"
"BIG BLOCK 502 V8, TH400 3SPD AUTO, POWER STEERING, FRONT DISC BRAKES, RUNS GR8!!"
"Description coming soon, call for details!"
"Description coming soon, call for details!"
"Description coming soon, call for details!"
"327 V8 W/ DOUBLE HUMP HEADS, AUTO TRANS, PWR STEER/FRNT DISC, DUAL EXHAUST, A/C!"
"Description coming soon, call for details!"
"SHARP PAINT, SMALL BLOCK CHEVY POWERED, O/D TRANS, A/C INTERIOR, NICE UPGRADES"
"RESTORED W/ '96 IMPALA DRIVE TRAIN & FRAME, CHEVY 350 LT1 V8, AUTO W/ OD, NICE!"
"218 INLINE 6, 3 SPEED MANUAL, PERIOD CORRECT RESTORATION, WELL TAKEN CARE OF"
"350 V8 W/ 5-SPEED, FRONT DISCS, MUSTANG II FRONT SUSPENSION, SLICK STEEL WILLYS!"
"BEAUTIFUL 3100 5-WINDOW PICKUP, 216 CI INLINE 6 CYLINDER, 3-SPEED MANUAL TRANS!!"
"SHARP CHEVY 3100 PICKUP, 350 V8, AUTO TRANS, POWER STEER/FRONT DISC, 10 BOLT!!!"
